BLOCK1,BLOCK2,DISTANCE,LENGTH
109,196,98.697,0.000
110,162,0.000,294.032
111,122,55.108,0.000
111,125,194.701,0.000
111,132,181.517,0.000
111,154,30.811,0.000
111,173,0.000,368.614
111,206,192.560,0.000
112,137,0.000,12.235
112,193,0.000,939.807
112,212,0.000,91.093
113,129,166.942,0.000
113,206,0.000,248.844
114,148,122.124,0.000
114,167,0.000,177.219
114,175,0.000,130.275
114,180,159.425,0.000
114,208,65.613,0.000
115,190,140.712,0.000
115,194,0.000,255.906
115,195,188.766,0.000
116,164,0.000,655.179
117,156,73.542,0.000
117,158,59.546,0.000
117,160,0.000,134.182
117,171,0.000,77.509
118,145,0.000,144.274
118,168,0.000,71.738
118,172,0.000,216.638
118,177,187.188,0.000
118,209,123.150,0.000
119,135,0.000,414.476
119,149,0.000,89.786
119,167,115.914,0.000
119,175,0.000,97.626
119,213,0.000,88.738
120,152,0.000,118.021
120,181,0.000,883.854
121,128,0.000,288.974
121,133,94.513,0.000
121,178,0.000,0.000
121,207,58.508,0.000
122,129,179.429,0.000
122,132,0.000,241.921
123,208,79.569,0.000
124,156,80.440,0.000
124,157,0.000,286.885
125,129,144.932,0.000
125,206,81.092,0.000
126,141,0.000,69.034
126,187,0.000,88.372
126,203,71.322,0.000
126,209,125.187,0.000
127,166,0.000,163.787
128,133,0.000,443.106
128,178,0.000,476.569
128,207,65.091,0.000
129,132,91.361,0.000
129,177,84.875,0.000
129,206,0.000,82.259
130,170,151.607,0.000
130,182,0.000,313.862
130,199,100.281,0.000
131,155,0.000,46.441
131,165,183.142,0.000
131,197,143.550,0.000
131,210,0.000,33.850
131,218,0.000,90.407
133,178,26.651,0.000
133,207,160.458,0.000
135,149,0.000,231.287
135,175,83.635,0.000
135,202,112.968,0.000
135,213,0.000,315.623
136,149,0.000,81.894
136,202,0.000,109.155
137,193,0.000,593.099
137,212,0.000,212.514
138,188,0.000,177.351
139,151,170.991,0.000
139,188,0.000,368.257
141,187,166.588,0.000
141,203,0.000,121.404
141,209,0.000,68.300
142,186,0.000,164.263
143,156,11.782,0.000
143,158,0.000,1316.733
143,215,27.407,0.000
144,190,31.665,0.000
144,195,36.505,0.000
144,201,144.554,0.000
145,150,71.378,0.000
145,168,35.112,0.000
145,172,0.000,469.957
145,200,0.000,40.126
145,209,114.169,0.000
145,216,93.706,0.000
146,147,0.000,595.549
146,185,0.000,89.907
147,185,0.000,114.039
148,167,47.662,0.000
148,180,0.000,130.915
148,208,0.000,667.104
149,202,0.000,101.968
149,213,177.565,0.000
150,172,0.000,70.191
150,200,0.000,218.505
150,205,51.769,0.000
150,209,66.858,0.000
150,216,0.000,190.686
151,188,104.070,0.000
151,191,91.582,0.000
152,181,0.000,436.344
152,189,166.541,0.000
153,165,0.000,566.913
153,210,0.000,35.352
154,173,0.000,973.827
154,211,58.013,0.000
155,161,161.667,0.000
155,197,0.000,302.989
155,218,75.963,0.000
156,157,0.000,54.867
156,158,0.000,671.231
156,171,0.000,48.019
157,158,196.935,0.000
157,171,0.000,103.436
158,171,48.910,0.000
158,215,179.065,0.000
159,197,0.000,378.546
159,210,168.840,0.000
159,218,117.593,0.000
161,197,156.061,0.000
162,202,0.000,372.128
163,192,158.951,0.000
163,204,37.676,0.000
163,217,88.557,0.000
164,205,193.126,0.000
165,210,0.000,487.513
165,218,184.457,0.000
166,183,0.000,523.779
167,175,0.000,582.854
167,180,0.000,311.557
167,208,69.704,0.000
167,213,143.795,0.000
168,172,122.712,0.000
168,177,0.000,259.565
169,184,0.000,561.284
169,192,0.000,38.670
169,196,66.154,0.000
170,199,0.000,495.545
172,200,0.000,86.033
172,203,198.959,0.000
172,209,0.000,188.671
172,216,0.000,79.968
175,213,0.000,133.365
176,197,38.172,0.000
178,207,0.000,355.712
179,186,0.000,142.056
179,214,0.000,55.028
180,208,0.000,230.009
182,199,0.000,99.272
184,192,0.000,511.138
184,196,175.419,0.000
186,214,31.654,0.000
188,191,0.000,73.414
188,198,0.000,172.349
190,195,122.225,0.000
191,198,0.000,86.176
192,204,0.000,410.876
192,207,0.000,201.881
192,217,0.000,618.482
193,212,12.235,0.000
195,201,147.454,0.000
197,218,0.000,574.487
200,205,188.545,0.000
200,209,171.190,0.000
200,216,60.251,0.000
203,205,94.342,0.000
203,209,0.000,217.933
203,216,149.496,0.000
204,207,0.000,137.938
204,217,0.000,204.169
205,209,149.958,0.000
205,216,0.000,53.515
209,216,41.491,0.000
210,218,36.908,0.000
